@relation DLA

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute d {sitting,sittingdown,standing,standingup,walking}

@data
28,58,55,22,0,-6,106,-117,-429,-447,-549,35,194,-97,-171,-77,-169,walking
28,58,55,22,0,-30,23,-29,-265,-347,-355,30,110,-100,-153,-93,-162,sitting
28,58,55,22,0,-18,34,-27,-27,-28,-26,28,108,-86,-151,-92,-168,sitting
28,58,55,22,0,-4,103,-95,5,88,-122,23,97,-91,-194,-85,-159,standing
75,67,67,24,0,-7,93,-149,-7,88,-91,15,123,-110,-188,-80,-149,standing
46,62,75,28,6,-6,102,-102,4,81,-126,20,108,-98,-179,-88,-163,standing
28,58,55,22,0,5,97,-108,-398,-421,-521,32,122,-132,-186,-94,-174,walking
28,58,55,22,0,-5,100,-102,5,84,-125,32,105,-82,-193,-89,-165,standing
28,58,55,22,0,-11,103,-97,-492,-514,-614,17,102,-106,-187,-84,-166,standing
28,58,55,22,0,-15,71,-33,-473,-484,-595,29,105,-85,-135,-101,-160,standingup
31,71,83,28,4,-13,98,-122,15,91,-138,36,122,-77,-168,-73,-150,standing
31,71,83,28,4,5,71,-61,-22,9,-24,81,74,-143,-99,-120,-187,sitting
28,58,55,22,0,-28,30,-29,-277,-371,-455,27,109,-88,-154,-93,-171,sitting
28,58,55,22,0,0,72,-162,10,28,-20,9,106,-135,-251,-93,-159,sittingdown
31,71,83,28,4,-15,99,-124,3,92,-139,36,119,-79,-174,-77,-153,standing
28,58,55,22,0,6,100,-134,-492,-515,-615,30,131,-144,-162,-68,-175,walking
31,71,83,28,4,13,78,-107,-491,-514,-615,14,125,-107,-216,-84,-172,walking
28,58,55,22,0,-27,24,-31,-264,-298,-344,38,108,-102,-160,-89,-172,sitting
75,67,67,24,0,-10,97,-100,-10,-21,-20,-71,86,-108,-109,-131,-150,sitting
28,58,55,22,0,-21,35,-20,-19,-27,-25,26,108,-81,-143,-95,-162,sitting
46,62,75,28,6,-18,82,-88,-19,6,-35,30,90,-89,-174,-88,-162,standingup
46,62,75,28,6,-5,76,-31,-1,22,-32,5,95,-69,-153,-109,-164,sitting
31,71,83,28,4,3,69,-64,-35,-8,-28,66,58,-104,-99,-117,-181,sitting
75,67,67,24,0,-3,84,-172,-13,78,-70,-3,122,-102,-213,-91,-141,sittingdown
31,71,83,28,4,-7,95,-136,11,93,-127,36,124,-75,-173,-68,-156,standing
31,71,83,28,4,6,70,-59,-17,9,-24,65,58,-104,-98,-124,-172,sitting
46,62,75,28,6,-5,138,-89,-64,169,9,-2,113,-88,-162,-87,-165,walking
31,71,83,28,4,-17,87,-112,6,88,-129,18,168,-44,-185,-80,-176,walking
31,71,83,28,4,-1,66,-64,-28,0,-27,88,81,-138,-96,-117,-184,sitting
28,58,55,22,0,-11,101,-92,-492,-516,-616,21,108,-99,-190,-80,-162,standing
46,62,75,28,6,-3,97,-90,12,61,-99,13,109,-97,-172,-94,-168,walking
28,58,55,22,0,9,89,-207,-450,-460,-573,-77,-2,-180,-293,-121,-148,standingup
46,62,75,28,6,-10,93,-93,-7,72,-122,8,99,-69,-166,-106,-159,standing
46,62,75,28,6,-10,94,-90,-8,82,-122,4,98,-133,-155,-104,-166,walking
28,58,55,22,0,-22,39,-18,-264,-370,-451,28,109,-87,-151,-94,-170,sitting
46,62,75,28,6,-4,76,-33,-1,22,-33,4,95,-70,-151,-109,-164,sitting
28,58,55,22,0,-23,80,-120,-31,83,-116,26,98,-107,-163,-96,-167,walking
