@relation R15

@attribute a1 numeric
@attribute a2 numeric
@attribute class {c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c1c2,c1c3,c1c4,c1c5}

@data
9.802,10.132,c1
10.35,9.768,c1
10.098,9.988,c1
9.73,9.91,c1
9.754,10.43,c1
9.836,9.902,c1
10.238,9.866,c1
9.53,9.862,c1
10.154,9.82,c1
9.336,10.456,c1
9.378,10.21,c1
9.712,10.264,c1
9.638,10.208,c1
9.518,9.956,c1
10.236,9.91,c1
9.4,10.086,c1
10.196,9.746,c1
10.138,9.828,c1
10.062,10.26,c1
10.394,9.984,c1
10.284,10.348,c1
9.706,9.978,c1
9.906,10.588,c1
10.356,9.198,c1
9.954,9.704,c1
9.796,10.378,c1
10.386,10.608,c1
10.41,9.912,c1
10.172,10.598,c1
10.286,9.712,c1
9.932,10.234,c1
10.298,9.948,c1
10.352,9.932,c1
9.848,10.328,c1
10.514,10.498,c1
9.944,9.934,c1
9.92,10.022,c1
9.908,10.606,c1
10.182,9.99,c1
10.256,9.25,c1
12.04,10.028,c2
12.082,10.044,c2
12.4,10.156,c2
11.988,9.926,c2
12.34,9.918,c2
12.228,9.978,c2
12.348,10.488,c2
12.044,9.358,c2
11.736,10.122,c2
12.35,9.798,c2
11.246,10.122,c2
12.276,10.99,c2
12.374,10.018,c2
12.53,10,c2
12.27,9.792,c2
12.364,10.176,c2
12.458,10.18,c2
11.952,9.682,c2
11.772,9.924,c2
11.502,10.008,c2
12.134,9.482,c2
11.628,10.286,c2
12.064,9.616,c2
11.906,9.82,c2
11.736,10.29,c2
12.114,10.904,c2
11.59,9.712,c2
12.648,9.814,c2
12.164,11.018,c2
12.22,9.796,c2
11.846,9.634,c2
11.808,10.058,c2
12.096,9.846,c2
11.594,10.078,c2
12.252,9.938,c2
11.998,9.676,c2
11.894,10.012,c2
12.274,9.936,c2
12.176,10.364,c2
12.104,10.388,c2
11.372,11.466,c3
10.94,11.482,c3
11.084,11.554,c3
11.232,11.374,c3
11.22,11.64,c3
10.962,11.75,c3
11.014,11.746,c3
11.524,10.982,c3
11.012,11.364,c3
11.2,11.062,c3
11.626,11.894,c3
11.23,11.728,c3
11.144,11.91,c3
11.106,11.868,c3
11.53,11.918,c3
11.21,11.114,c3
10.746,11.702,c3
11.154,11.692,c3
11.412,11.924,c3
10.948,11.532,c3
10.988,12.298,c3
10.96,11.392,c3
11.656,11.346,c3
11.178,12.062,c3
11.368,11.56,c3
11.264,11.724,c3
11.554,11.576,c3
10.974,11.114,c3
11.12,11.634,c3
11.51,12.052,c3
10.95,11.402,c3
11.864,12.406,c3
11.198,10.854,c3
11.65,11.496,c3
11.248,11.722,c3
11.602,11.888,c3
11.424,11.454,c3
11.312,11.718,c3
10.736,11.68,c3
11.56,11.798,c3
10.028,12.268,c4
9.282,11.976,c4
9.178,11.53,c4
9.954,12.398,c4
9.622,11.558,c4
9.914,11.844,c4
9.07,11.092,c4
10.578,11.354,c4
9.582,12.14,c4
9.622,11.528,c4
9.35,11.71,c4
10.234,11.974,c4
8.986,12.31,c4
9.438,12.11,c4
9.592,12.012,c4
9.666,11.88,c4
9.364,12.012,c4
9.71,11.772,c4
9.992,11.836,c4
9.916,12.028,c4
9.382,12.226,c4
9.808,12.23,c4
9.272,12.152,c4
9.392,11.18,c4
9.28,11.976,c4
9.848,11.632,c4
9.322,11.514,c4
9.718,11.95,c4
9.12,11.76,c4
8.978,12.37,c4
10.072,12.202,c4
9.966,11.822,c4
9.506,11.648,c4
9.702,11.536,c4
9.45,11.96,c4
9.916,11.962,c4
9.96,11.538,c4
9.014,11.744,c4
9.024,11.846,c4
10.296,11.61,c4
7.87,10.838,c5
8.164,10.534,c5
8.214,10.62,c5
8.166,10.698,c5
8.05,10.746,c5
7.978,11.13,c5
8.08,10.992,c5
8.472,11.082,c5
8.494,10.584,c5
8.354,10.38,c5
8.096,10.714,c5
7.882,10.832,c5
7.908,11.346,c5
7.814,10.872,c5
8.28,10.104,c5
8.082,10.676,c5
8.068,10.118,c5
8.116,10.698,c5
8.042,10.79,c5
8.096,10.878,c5
8.124,10.932,c5
8.632,11.124,c5
8.27,10.716,c5
7.622,10.148,c5
8.198,11.398,c5
8.582,11.064,c5
7.942,11.076,c5
8.004,10.574,c5
8.504,11.378,c5
8.118,11.012,c5
7.874,11.296,c5
7.668,10.924,c5
7.966,10.72,c5
7.94,10.996,c5
7.988,11.228,c5
8.164,11.112,c5
8.386,10.772,c5
8.248,10.994,c5
8.286,10.734,c5
8.224,10.316,c5
7.976,9.578,c6
7.876,8.796,c6
8.172,9.01,c6
8.068,9.202,c6
8.416,8.654,c6
8.71,8.458,c6
8.056,8.434,c6
7.304,9.266,c6
8.118,8.608,c6
7.616,9.446,c6
8.092,8.956,c6
8.368,8.968,c6
8.022,9.334,c6
8.32,9.062,c6
7.832,8.952,c6
7.704,8.672,c6
8.236,9.108,c6
8.37,8.904,c6
8.352,8.896,c6
8.046,9.228,c6
7.71,9.538,c6
8.534,8.55,c6
7.996,9.172,c6
8.046,9.204,c6
8.622,9.174,c6
7.776,8.898,c6
8.226,9.038,c6
7.904,9.194,c6
7.874,8.856,c6
7.992,8.952,c6
8.262,9.468,c6
8.088,9.294,c6
8.034,9.792,c6
8.352,9.016,c6
7.85,9.334,c6
8.404,9.366,c6
7.892,8.808,c6
8.202,9.232,c6
7.668,9.026,c6
8.242,9.308,c6
9.432,8.61,c7
10.066,8.19,c7
9.146,8.044,c7
9.662,7.866,c7
9.6,7.874,c7
8.618,8.552,c7
9.334,7.658,c7
9.424,7.83,c7
8.892,8.166,c7
9.386,7.746,c7
9.878,8.054,c7
9.558,7.948,c7
9.222,8.002,c7
9.52,8.282,c7
9.76,7.932,c7
9.568,8.052,c7
9.736,7.552,c7
9.584,8.478,c7
9.358,8.242,c7
9.404,7.79,c7
9.458,8.54,c7
9.482,7.766,c7
8.844,8.024,c7
9.29,8.472,c7
9.274,7.566,c7
9.11,8.014,c7
9.542,7.688,c7
9.432,8.122,c7
9.786,8.066,c7
9.382,7.664,c7
9.404,8.228,c7
9.146,8.158,c7
9.622,8.004,c7
10.286,7.892,c7
9.43,7.676,c7
9.44,8.058,c7
9.788,7.684,c7
9.586,7.91,c7
9.694,7.448,c7
9.576,7.866,c7
11.442,8.688,c8
11.466,8.558,c8
10.674,8.936,c8
11.23,8.126,c8
11.614,8.588,c8
11.59,8.496,c8
11.536,7.586,c8
11.638,8.266,c8
11.16,8.43,c8
10.904,8.532,c8
11.284,8.742,c8
11.25,8.192,c8
10.84,8.218,c8
11.798,8.836,c8
11.51,8.094,c8
10.932,7.796,c8
11.404,8.206,c8
11.088,8.326,c8
11.334,8.17,c8
11.272,8.394,c8
11.59,8.408,c8
11.212,8.516,c8
11.566,8.024,c8
11.246,8.584,c8
11.252,8.566,c8
10.78,8.294,c8
11.04,8.322,c8
11.198,7.886,c8
11.168,8.262,c8
11.88,8.08,c8
11.356,8.586,c8
11.182,8.342,c8
10.836,8.664,c8
11.696,8.906,c8
11.282,8.28,c8
10.718,8.534,c8
10.444,8.684,c8
11.124,8.618,c8
11.392,8.94,c8
11.212,8.308,c8
16.674,9.638,c9
16.162,10.302,c9
16.612,10.218,c9
16.1,9.702,c9
16.404,10.072,c9
15.93,10.106,c9
16.128,9.888,c9
16.41,10.188,c9
15.982,9.92,c9
16.224,10.02,c9
16.296,9.458,c9
16.586,10.174,c9
16.314,10.716,c9
16.278,9.452,c9
16.622,9.652,c9
16.22,9.494,c9
16.626,10.162,c9
16.982,10.596,c9
16.27,10.128,c9
16.202,9.7,c9
16.532,9.776,c9
17.124,9.726,c9
16.47,9.698,c9
16.004,10.28,c9
16.366,9.796,c9
16.268,9.522,c9
16.13,9.748,c9
