@relation flame

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute decision {label1,label2}

@data
1.85,27.8,label1
1.35,26.65,label1
1.4,23.25,label2
0.85,23.05,label2
0.5,22.35,label2
0.65,21.35,label2
1.1,22.05,label2
1.35,22.65,label2
1.95,22.8,label2
2.4,22.45,label2
1.8,22,label2
2.5,21.85,label2
2.95,21.4,label2
1.9,21.25,label2
1.35,21.45,label2
1.35,20.9,label2
1.25,20.35,label2
1.75,20.05,label2
2,20.6,label2
2.5,21,label2
1.7,19.05,label2
2.4,20.05,label2
3.05,20.45,label2
3.7,20.45,label2
3.45,19.9,label2
2.95,19.5,label2
2.4,19.4,label2
2.4,18.25,label2
2.85,18.75,label2
3.25,19.05,label2
3.95,19.6,label2
2.7,17.8,label2
3.45,18.05,label2
3.8,18.55,label2
4,19.1,label2
4.45,19.9,label2
4.65,19.15,label2
4.85,18.45,label2
4.3,18.05,label2
3.35,17.3,label2
3.7,16.3,label2
4.4,16.95,label2
4.25,17.4,label2
4.8,17.65,label2
5.25,18.25,label2
5.75,18.55,label2
5.3,19.25,label2
6.05,19.55,label2
6.5,18.9,label2
6.05,18.2,label2
5.6,17.8,label2
5.45,17.15,label2
5.05,16.55,label2
4.55,16.05,label2
4.95,15.45,label2
5.85,14.8,label2
5.6,15.3,label2
5.65,16,label2
5.95,16.8,label2
6.25,16.4,label2
6.1,17.45,label2
6.6,17.65,label2
6.65,18.3,label2
7.3,18.35,label2
7.85,18.3,label2
7.15,17.8,label2
7.6,17.7,label2
6.7,17.25,label2
7.3,17.25,label2
6.7,16.8,label2
7.3,16.65,label2
6.75,16.3,label2
7.4,16.2,label2
6.55,15.75,label2
7.35,15.8,label2
6.8,14.95,label2
7.45,15.1,label2
6.85,14.45,label2
7.6,14.6,label2
8.55,14.65,label2
8.2,15.5,label2
7.9,16.1,label2
8.05,16.5,label2
7.8,17,label2
8,17.45,label2
8.4,18.1,label2
8.65,17.75,label2
8.9,17.1,label2
8.4,17.1,label2
8.65,16.65,label2
8.45,16.05,label2
8.85,15.35,label2
9.6,15.3,label2
9.15,16,label2
10.2,16,label2
9.5,16.65,label2
10.75,16.6,label2
10.45,17.2,label2
9.85,17.1,label2
9.4,17.6,label2
10.15,17.7,label2
9.85,18.15,label2
9.05,18.25,label2
9.3,18.7,label2
9.15,19.15,label2
8.5,18.8,label2
11.65,17.45,label2
11.1,17.65,label2
10.4,18.25,label2
10,18.95,label2
11.95,18.25,label2
11.25,18.4,label2
10.6,18.9,label2
11.15,19,label2
11.9,18.85,label2
12.6,18.9,label2
11.8,19.45,label2
11.05,19.45,label2
10.3,19.4,label2
9.9,19.75,label2
10.45,20,label2
13.05,19.9,label2
12.5,19.75,label2
11.9,20.05,label2
11.2,20.25,label2
10.85,20.85,label2
11.4,21.25,label2
11.7,20.6,label2
12.3,20.45,label2
12.95,20.55,label2
12.55,20.95,label2
12.05,21.25,label2
11.75,22.1,label2
12.25,21.85,label2
12.8,21.5,label2
13.55,21,label2
13.6,21.6,label2
12.95,22,label2
12.5,22.25,label2
12.2,22.85,label2
12.7,23.35,label2
13,22.7,label2
13.55,22.2,label2
14.05,22.25,label2
14.2,23.05,label2
14.1,23.6,label2
13.5,22.8,label2
13.35,23.5,label2
13.3,24,label2
7.3,19.15,label2
7.95,19.35,label2
7.7,20.05,label2
6.75,19.9,label2
5.25,20.35,label2
6.15,20.7,label1
7,20.7,label1
7.6,21.2,label1
8.55,20.6,label1
9.35,20.5,label1
8.3,21.45,label1
7.9,21.6,label1
7.15,21.75,label1
6.7,21.3,label1
5.2,21.1,label2
6.2,21.95,label1
6.75,22.4,label1
6.15,22.5,label1
5.65,22.2,label1
4.65,22.55,label1
4.1,23.45,label1
5.35,22.8,label1
7.4,22.6,label1
7.75,22.1,label1
8.5,22.3,label1
9.3,22,label1
9.7,22.95,label1
8.8,22.95,label1
8.05,22.9,label1
7.6,23.15,label1
6.85,23,label1
6.2,23.25,label1
5.7,23.4,label1
5.1,23.55,label1
4.55,24.15,label1
5.5,24,label1
6.1,24.05,label1
6.5,23.6,label1
6.75,23.95,label1
7.3,23.75,label1
8.3,23.4,label1
8.9,23.7,label1
9.55,23.65,label1
10.35,24.1,label1
7.95,24.05,label1
3.95,24.4,label1
3.75,25.25,label1
3.9,25.95,label1
4.55,26.65,label1
5.25,26.75,label1
6.5,27.6,label1
7.45,27.6,label1
8.35,27.35,label1
9.25,27.2,label1
9.95,26.5,label1
10.55,25.6,label1
9.9,24.95,label1
9.2,24.5,label1
8.55,24.2,label1
8.8,24.8,label1
9.2,25.35,label1
9.55,26.05,label1
9.05,26.6,label1
8.8,25.8,label1
8.15,26.35,label1
8.05,25.8,label1
8.35,25.2,label1
7.9,25.3,label1
8.05,24.7,label1
7.3,24.4,label1
7.55,24.85,label1
6.85,24.45,label1
6.25,24.65,label1
5.55,24.5,label1
4.65,25.1,label1
5,25.55,label1
5.55,26.1,label1
5.55,25.25,label1
6.2,25.2,label1
6.8,25.05,label1
7.4,25.25,label1
6.65,25.45,label1
6.15,25.8,label1
6.5,26.1,label1
6.6,26.6,label1
7.7,26.65,label1
7.5,26.2,label1
7.5,25.65,label1
7.05,25.85,label1
6.9,27.15,label1
6.15,26.9,label1
